Day,Date,Session,Track,Hall,Time,Paper ID,Title,Registration,receipt_link,Session_Comment
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,91,Synergistic Approach to Automated Plant Disease Diagnosis: Benchmarking EfficientNet-B0 against Object Detection Paradigms in a Web-Based Ecosystem,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,104,Lightweight Deep Learning Framework Combining CNN and Vision Transformers for Accurate Cervical Cancer Detection,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,199,Enhanced Deep Learning Framework: Intelligent Multi-Modal Vehicle Speed Estimation and Traffic Violation Detection Using YOLOv13,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,232,Thermal Performance Optimization of EV Battery Packs Using AI-Assisted Computational Fluid Dynamics,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,258,GazeSense: A Low-Cost Machine Learning Framework for Webcam-Based Gaze Classification,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,265,Phishing Website Detection Using Machine Learning Techniques,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,277,Adaptability Evaluation of Hybrid Adversarial Defense Frameworks Across Evolving Attack Scenarios,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,302,Hybrid Machine Learning Technique for Flood Forecasting Using Random Forest and LSTM.,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,313,Renewable Energy Forecasting Using Federated Learning for Privacy-Preserving Smart Grids,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,317,Smart Transformer Health Monitoring Using IoT and Explainable AI Models,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,368,Early Risk Prediction of Vitamin-D Deficiency using Data-Driven Machine Learning Approaches,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,396,Decoding Diaspora and Gender: A Critical Literary Study of Selected Novels by Monica Ali and Chimamanda Ngozi Adichie,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,397,Comparative Evaluation of Hindi Text-to-Speech Systems,,#,(Parallel Tracks)
Day 1 (Evening Session),"Thursday, October 22, 2026",,,,2:00 PM – 04:30 PM,401,A Unified Learning Framework for Machine Learning-Based Channel Assignment in Multichannel Wireless Mesh Networks,,#,(Parallel Tracks)
