id,name,role,affiliation,bio,image
1,Prof. (Dr.) Laxmidhar Behera,Chief Guest (Inaugural Ceremony),"Director, IIT Mandi, Himachal Pradesh, India",,/images/speakers/speaker-1.png
2,Prof. (Dr.) Shashidhar G Koolagudi,Keynote Speaker,"Professor, National Institute of Technology, Karnataka, India",,/images/speakers/speaker-2.png
3,Prof. (Dr.) Marjan Mernik,Keynote Speaker,"Professor of Computer Science, University of Maribor, Slovenia",,/images/speakers/speaker-3.png
4,Dr. Devender Arora,Keynote Speaker,"Senior Bioinformatics Research Scientist at Purdue University, USA",,/images/speakers/speaker-4.png
5,Prof. (Dr.) D. K. Lobiyal,Chief Guest (Valedictory Ceremony),"Professor, School of Computer & Systems Sciences, JNU, New Delhi, India",,/images/speakers/speaker-5.png
6,Dr. Rakesh Bhardwaj,Keynote Speaker,"Scientist-G DEAL (DRDO), Dehradun, Uttarakhand, India",,/images/speakers/speaker-6.png
